"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
1,1,1,1,1,1,0.565829607,1
1,1,1,1,1,1,0.695800528,0.97924819
1,1,1,1,0.832075479,1,0.769621912,1.029430641
1,1,1,1,1,1,0.838238338,0.981643268
1,1,1,1,1,1,1,0.913781564
1,1,1,0.921986963,0.928191666,1,1,0
1,1,1,1,1,1,0.747521381,1
1,1,1,0.883863083,0.909361162,0.919957852,0.949732702,0.873974847
0.927745731,1,1,0.927745731,1,1,0.853129876,0.984170949
1,1,1,1,1,1,0.857842024,1
1,1,1,1,1,1,0.845922554,1
1,1,1,1,1,1,0.85447026,1
0.923945202,1,1,0.923945202,1,1,0.678405608,1
0.957929716,1,1,0.957929716,0.985168974,1,0.738824766,0.997933894
0.946824507,1,1,0.946824507,1,1,1,1
0.916984376,1,1,0.916984376,1,1,0.896452001,1
1,1,1,1,1,1,0.785522348,1.032112691
1,0.93570953,1,1,0.93570953,1,0.93570953,0.984786137
1,1,1,1,1,1,0.970305198,0.970305198
1,1,1,1,1,1,0.820370663,0.973408312
0.867201844,1,1,0.867201844,1,1,0.854465034,0.986783279
1,1,1,0.85453113,0.968256612,1,0.736909871,1
1,1,1,1,1,1,0.923325745,0.729786476
0.850429224,1,1,0.850429224,1,1,0.851925273,0.952044968
1,1,1,1,1,1,0.60502944,1
1,1,1,1,1,1,0.883399963,0.982785358
0.981216918,1,1,0.981216918,1,1,0.823089716,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.881113211,0.989138264
0.925127653,1,1,0.925127653,1,1,0.909684744,1
1,1,1,1,1,1,0.735215974,0.977221943
1,1,1,1,1,1,0.544880523,1.027254105
0.977055877,1,1,0.977055877,1,1,0.91223915,1
1,1,1,1,1,1,0.881435898,0.813747624
1,1,1,1,0.999294524,1,0.84937989,0.873288302
1,1,1,1,1,1,0.783917807,0.783917807
0.945460092,0.956081807,0.987553538,0.945460092,0.956081807,0.987553538,0.781066363,1
1,1,1,1,1,1,0.429599897,1.29590001
1,1,1,1,1,1,1.257698265,1
0.975424152,1,1,0.975424152,1,1,0.758182859,0.990747423
0.995286628,1,1,0.995286628,1,1,0.941416744,1
0.946814346,1,0.946814346,0.946814346,1,0.946814346,1,1
1,1,1,1,1,1,1,0.945818794
1,1,1,0.996802529,0.996802529,1,0.964588211,0.964588211
1,1,1,1,0.98423095,1,0.809068932,1
0.985709991,1,0.998006733,0.985709991,1,0.998006733,0.701346425,1
0.940810619,1,1,0.940810619,1,1,0.82286558,1
1,1,1,1,1,1,0.95348146,0.907596802
1,1,0.93547291,1,1,0.93547291,1,1
1,1,1,1,1,1,0.71427352,0.988339892
1,1,1,1,0.920627257,1,0.834530152,1
1,1,1,1,0.992665222,1,0.755196249,1
1,1,1,1,1,1,0.69202386,0.945564847
1,1,1,1,1,1,0.768572409,1
1,1,1,1,0.952238257,1,0.799963643,1
1,1,1,0.997469801,0.997469801,1,0.954960204,1
1,1,1,1,1,1,0.780732498,0.9532692
0.958003289,0.991708252,1,0.958003289,0.991708252,1,0.837806513,0.991708252
1,1,1,1,1,1,0.996355758,1
1,1,1,1,0.979553768,1,0.802208834,0.802208834
0.94156206,1,0.979772563,0.94156206,1,0.979772563,0.801018478,1
1,1,1,0.995480907,0.936483096,1,0.885415696,0.885415696
1,0.993412985,1,1,0.993412985,1,0.841279518,0.993412985
0.998899883,0.931876445,0.998899883,0.998899883,0.931876445,0.998899883,0.900066775,0.998899883
1,1,1,1,1,1,0.856550428,1.015567148
1,1,1,1,1,1,0.859955619,0.958451964
0.938626875,0.995457343,0.940974249,0.938626875,0.995457343,0.940974249,0.918590292,0.995457343
0.910982738,1,1,0.910982738,1,1,0.851707216,0.879429726
1,1,1,1,0.974495399,1,0.657821472,1
0.91984413,1,1,0.91984413,1,1,0.915835064,1
1,1,1,0.997058441,1,1,0.901948764,0.959359581
0.992126178,0.992126178,1,0.992126178,0.992126178,1,1,0.992126178
1,1,1,0.979584048,1,1,0.786100425,0.954758073
1,1,1,1,0.997078536,1,0.933091796,0.517114452
1,1,1,1,1,1,0.919314254,1
1,1,1,1,1,1,0.525737476,1
1,1,1,1,1,1,0.981749174,0.838121729
